metric,classical,frozen_head,quantum
accuracy,0.7286821705426356,0.689922480620155,0.6434108527131783
precision_macro,0.7398523523523524,0.6936126373626373,0.6521595013110375
recall_macro,0.7341229032405503,0.7032942547648431,0.6542060880296174
f1_macro,0.7310906354953068,0.6924226672444698,0.6499394352335529
roc_auc_ovr_macro,0.904722283763535,0.8782590462614501,0.8336644084124544
n_params,23516228.0,81.0,82.0
train_time_s,7259.761521577835,0.6296555995941162,254.1151785850525
inference_time_ms_per_image,97.09760384966236,0.0,7.425833118054294
cv_mean_accuracy,0.7520901380471839,0.7949394014080757,0.7590979274681103
cv_std_accuracy,0.027069625087739906,0.04659250234862945,0.020919060061028526
